Page ID,Page Type,Content Tag,ICP Segment(s) Served,Funnel Stage,URL Slug,Title Tag,Meta Description,H1,Primary Keyword,Secondary Keywords (2–4),Search Intent,Schema.org Type(s),Key Entities to Cover,LLM Retrieval Angle,Parent Page,Internal Link Targets (3–5 sibling/child URLs),Priority,Notes
P014,Pillar/Hub,Evergreen,ICP-006 Family Relocating with Children,MOFU,https://paphosadvisor.com/families,Families Moving to Paphos | Paphos Advisor,"Families Moving to Paphos: the routes, requirements and real-world steps for moving to Cyprus, with vetted specialists when you need them.",Families Moving to Paphos,families moving to Paphos,move to Cyprus; Paphos relocation; Cyprus residency; Cyprus tax,Commercial,CollectionPage + Service + FAQPage + BreadcrumbList,Schools; GESY; private healthcare; family rentals; areas; children; school admissions,What should families with children plan before moving to Paphos?,https://paphosadvisor.com/,https://paphosadvisor.com/services; https://paphosadvisor.com/experts; https://paphosadvisor.com/faq; https://paphosadvisor.com/start,P0 launch,Pathway-first navigation page. Multilingual note: consider translated summaries only after English version proves demand.
P015,Pillar/Hub,Evergreen,ICP-001 UK National Retiree,MOFU,https://paphosadvisor.com/retirees,Retiring in Paphos | Paphos Advisor,"Everything on retiring in Paphos, Cyprus for your move — clear guidance, honest trade-offs and the right expert at the right time.","Retiring in Paphos, Cyprus",retiring in Paphos,move to Cyprus; Paphos relocation; Cyprus residency; Cyprus tax,Commercial,CollectionPage + Service + FAQPage + BreadcrumbList,Category F; UK pensions; healthcare; GESY; post-Brexit residency; property purchase,How can a UK retiree move to Paphos safely after Brexit?,https://paphosadvisor.com/,https://paphosadvisor.com/services; https://paphosadvisor.com/experts; https://paphosadvisor.com/faq; https://paphosadvisor.com/start,P0 launch,Pathway-first navigation page. Multilingual note: consider translated summaries only after English version proves demand.
P016,Pillar/Hub,Evergreen,ICP-003 Non-EU Digital Nomad,MOFU,https://paphosadvisor.com/digital-nomads,Cyprus Digital Nomad Visa | Paphos Advisor,"A practical guide to the Cyprus Digital Nomad Visa for your move to Cyprus — routes, costs, timelines and where expert help makes the difference.",The Cyprus Digital Nomad Visa,Cyprus digital nomad visa,Cyprus digital nomads; move to Cyprus; Paphos relocation; Cyprus residency; Cyprus tax,Commercial,CollectionPage + Service + FAQPage + BreadcrumbList,Digital Nomad Visa; non-EU citizens; remote work; permits; tax residency; Paphos,Is Cyprus a good base for non-EU digital nomads?,https://paphosadvisor.com/,https://paphosadvisor.com/services; https://paphosadvisor.com/experts; https://paphosadvisor.com/faq; https://paphosadvisor.com/start,P1 fast-follow,Pathway-first navigation page. Multilingual note: consider translated summaries only after English version proves demand.
P017,Pillar/Hub,Evergreen,ICP-007 Property Speculators,MOFU,https://paphosadvisor.com/property-investors,Paphos Property Investors | Paphos Advisor,"Paphos Property Investors: the routes, requirements and real-world steps for moving to Cyprus, with vetted specialists when you need them.",Paphos Property Investors,Paphos property investors,move to Cyprus; Paphos relocation; Cyprus residency; Cyprus tax,Commercial,CollectionPage + Service + FAQPage + BreadcrumbList,Title deeds; developers; rental yield; conveyancing; due diligence; Paphos areas,What should property investors check before buying in Paphos?,https://paphosadvisor.com/,https://paphosadvisor.com/services; https://paphosadvisor.com/experts; https://paphosadvisor.com/faq; https://paphosadvisor.com/start,P2 later,Pathway-first navigation page. Multilingual note: consider translated summaries only after English version proves demand.
P018,Pillar/Hub,Evergreen,ICP-009 Low Budget Escapers,MOFU,https://paphosadvisor.com/budget-movers,Moving to Cyprus on a Budget | Paphos Advisor,"Everything on moving to Cyprus on a budget for your move — clear guidance, honest trade-offs and the right expert at the right time.",Moving to Cyprus on a Budget,moving to Cyprus on a budget,move to Cyprus; Paphos relocation; Cyprus residency; Cyprus tax,Commercial,CollectionPage + Service + FAQPage + BreadcrumbList,Low budget relocation; rentals; cost of living; public healthcare; realistic planning,"Can I move to Cyprus on a low budget, and what are the limits?",https://paphosadvisor.com/,https://paphosadvisor.com/services; https://paphosadvisor.com/experts; https://paphosadvisor.com/faq; https://paphosadvisor.com/start,P2 later,Pathway-first navigation page. Multilingual note: consider translated summaries only after English version proves demand.
P019,Pillar/Hub,Evergreen,ICP-002 EU National Remote Worker; ICP-004 Entrepreneur / Company Formation; ICP-005 HNI Permanent Residency; ICP-001 UK National Retiree,MOFU,https://paphosadvisor.com/tax-residency,Cyprus Tax & Residency Hub | Paphos Advisor,"A practical guide to Cyprus tax and residency hub for your move to Cyprus — routes, costs, timelines and where expert help makes the difference.",Cyprus Tax and Residency Hub,Cyprus tax residency,Paphos relocation; Cyprus guide; expert help; checklist,Commercial,CollectionPage + FAQPage + BreadcrumbList,Cyprus Tax Department; 60-day rule; 183-day rule; non-dom; SDC; GESY; double tax treaty,Which Cyprus tax residency route fits my move to Paphos?,https://paphosadvisor.com/,https://paphosadvisor.com/tax-residency/60-day-rule; https://paphosadvisor.com/tax-residency/non-dom; https://paphosadvisor.com/tax-residency/183-day-rule; https://paphosadvisor.com/services/tax,P0 launch,Cross-ICP connective tissue. Use sidebars and related-next-step modules.
P020,Pillar/Hub,Evergreen,ICP-005 HNI Permanent Residency; ICP-006 Family Relocating with Children; ICP-001 UK National Retiree; ICP-007 Property Speculators,MOFU,https://paphosadvisor.com/property,Paphos Property Hub | Paphos Advisor,"Paphos Property Hub: the routes, requirements and real-world steps for moving to Cyprus, with vetted specialists when you need them.",Paphos Property Hub,Paphos property,Paphos relocation; Cyprus guide; expert help; checklist,Commercial,CollectionPage + FAQPage + BreadcrumbList,Paphos Land Registry; title deeds; conveyancing; developers; reservation deposits; areas,How should foreigners approach buying or renting property in Paphos?,https://paphosadvisor.com/,https://paphosadvisor.com/property/buying-property-paphos; https://paphosadvisor.com/property/renting-in-paphos; https://paphosadvisor.com/locations; https://paphosadvisor.com/services/property,P0 launch,Cross-ICP connective tissue. Use sidebars and related-next-step modules.
P021,Pillar/Hub,Evergreen,ICP-002 EU National Remote Worker; ICP-004 Entrepreneur / Company Formation; ICP-005 HNI Permanent Residency; ICP-006 Family Relocating with Children; ICP-001 UK National Retiree,TOFU,https://paphosadvisor.com/settling-in,Settling In Paphos Hub | Paphos Advisor,"Everything on settling in Paphos hub for your move — clear guidance, honest trade-offs and the right expert at the right time.",Settling In Paphos Hub,settling in Paphos,Paphos relocation; Cyprus guide; expert help; checklist,Informational,CollectionPage + FAQPage + BreadcrumbList,GESY; banks; utilities; driving licence; schools; insurance; municipal services,What practical steps do newcomers need after arriving in Paphos?,https://paphosadvisor.com/,https://paphosadvisor.com/settling-in/bank-account; https://paphosadvisor.com/settling-in/gesy; https://paphosadvisor.com/settling-in/utilities; https://paphosadvisor.com/locations,P1 fast-follow,Cross-ICP connective tissue. Use sidebars and related-next-step modules.
P022,Pillar/Hub,Evergreen,ICP-002 EU National Remote Worker; ICP-004 Entrepreneur / Company Formation; ICP-005 HNI Permanent Residency; ICP-006 Family Relocating with Children; ICP-001 UK National Retiree,TOFU,https://paphosadvisor.com/resources,Cyprus Relocation Resources | Paphos Advisor,"A practical guide to Cyprus relocation resources for your move to Cyprus — routes, costs, timelines and where expert help makes the difference.",Cyprus Relocation Resources,Cyprus relocation resources,Paphos relocation; Cyprus guide; expert help; checklist,Informational,CollectionPage + ItemList + BreadcrumbList,Guides; checklists; FAQs; glossary; blog; calculators; route finders,Where can I find practical Cyprus relocation guides and checklists?,https://paphosadvisor.com/,https://paphosadvisor.com/faq; https://paphosadvisor.com/glossary; https://paphosadvisor.com/resources/blog; https://paphosadvisor.com/tools,P0 launch,Cross-ICP connective tissue. Use sidebars and related-next-step modules.
P023,FAQ,Evergreen,ICP-002 EU National Remote Worker,TOFU,https://paphosadvisor.com/tax-residency/yellow-slip,Yellow Slip Cyprus Guide | Paphos Advisor,"Yellow Slip Cyprus Guide explained clearly — the steps, the pitfalls and how Paphos Advisor helps you get it done.",Yellow Slip Cyprus Guide,yellow slip Cyprus,Cyprus relocation; Paphos; expert help; checklist,Informational,HowTo + FAQPage + BreadcrumbList,MEU1; Yellow Slip; CRMD; EU citizens; rental agreement; employment income; bank account,How do EU remote workers get a Yellow Slip in Cyprus?,https://paphosadvisor.com/tax-residency,https://paphosadvisor.com/remote-workers; https://paphosadvisor.com/tax-residency/60-day-rule; https://paphosadvisor.com/services/legal/yellow-slip; https://paphosadvisor.com/tools/yellow-slip-checklist,P0 launch,Needs official-source verification before publication. Add future multilingual note for high-demand pages only.
P024,FAQ,Evergreen,ICP-002 EU National Remote Worker,TOFU,https://paphosadvisor.com/tax-residency/yellow-slip-documents,Yellow Slip Documents Checklist | Paphos Advisor,"A plain guide to Yellow Slip documents checklist for your Cyprus move: what to expect, what it costs and where to get expert help.",Yellow Slip Documents Checklist,yellow slip documents Cyprus,Cyprus relocation; Paphos; expert help; checklist,Informational,HowTo + ItemList + FAQPage + BreadcrumbList,MEU1 form; passport; proof of address; bank statements; employment; CRMD,What documents are needed for a Cyprus Yellow Slip?,https://paphosadvisor.com/tax-residency/yellow-slip,https://paphosadvisor.com/tax-residency/yellow-slip; https://paphosadvisor.com/services/legal/yellow-slip; https://paphosadvisor.com/faq/residency; https://paphosadvisor.com/tools/yellow-slip-checklist,P1 fast-follow,Needs official-source verification before publication. Add future multilingual note for high-demand pages only.
P025,FAQ,Evergreen,ICP-002 EU National Remote Worker; ICP-004 Entrepreneur / Company Formation; ICP-005 HNI Permanent Residency,MOFU,https://paphosadvisor.com/tax-residency/60-day-rule,Cyprus 60-Day Rule Guide | Paphos Advisor,"Cyprus 60-Day Rule Guide: what it is, who needs it and how to get it right when you move to Cyprus. Straight answers, no jargon.",Cyprus 60-Day Rule Guide,Cyprus 60-day rule,Cyprus relocation; Paphos; expert help; checklist,Commercial,Article + FAQPage + BreadcrumbList,60-day rule; Tax Department; Cyprus tax residency; permanent home; business ties; SDC,Can I become Cyprus tax resident under the 60-day rule?,https://paphosadvisor.com/tax-residency,https://paphosadvisor.com/tax-residency/non-dom; https://paphosadvisor.com/services/tax/60-day-rule; https://paphosadvisor.com/entrepreneurs; https://paphosadvisor.com/remote-workers,P0 launch,Needs official-source verification before publication. Add future multilingual note for high-demand pages only.
P026,FAQ,Evergreen,ICP-001 UK National Retiree; ICP-006 Family Relocating with Children; ICP-005 HNI Permanent Residency,TOFU,https://paphosadvisor.com/tax-residency/183-day-rule,Cyprus 183-Day Rule Guide | Paphos Advisor,"Cyprus 183-Day Rule Guide explained clearly — the steps, the pitfalls and how Paphos Advisor helps you get it done.",Cyprus 183-Day Rule Guide,Cyprus 183-day rule,Cyprus relocation; Paphos; expert help; checklist,Informational,Article + FAQPage + BreadcrumbList,183-day rule; Tax Department; tax resident; Cyprus; UK retirees; family relocation,When does the Cyprus 183-day tax residency rule apply?,https://paphosadvisor.com/tax-residency,https://paphosadvisor.com/tax-residency/60-day-rule; https://paphosadvisor.com/tax-residency/non-dom; https://paphosadvisor.com/retirees; https://paphosadvisor.com/services/tax,P1 fast-follow,Needs official-source verification before publication. Add future multilingual note for high-demand pages only.
P027,FAQ,Evergreen,ICP-002 EU National Remote Worker; ICP-004 Entrepreneur / Company Formation; ICP-005 HNI Permanent Residency,MOFU,https://paphosadvisor.com/tax-residency/non-dom,Cyprus Non-Dom Guide | Paphos Advisor,"A plain guide to Cyprus Non-Dom guide for your Cyprus move: what to expect, what it costs and where to get expert help.",Cyprus Non-Dom Guide,Cyprus non-dom,Cyprus relocation; Paphos; expert help; checklist,Commercial,Article + FAQPage + BreadcrumbList,Non-dom; SDC; dividends; interest; rental income; GESY; tax residency,How does Cyprus non-dom status work for people moving to Paphos?,https://paphosadvisor.com/tax-residency,https://paphosadvisor.com/tax-residency/60-day-rule; https://paphosadvisor.com/services/tax/non-dom-planning; https://paphosadvisor.com/experts/tax-advisors; https://paphosadvisor.com/tools/cyprus-tax-route-finder,P0 launch,Needs official-source verification before publication. Add future multilingual note for high-demand pages only.
P028,Pillar/Hub,Evergreen,ICP-002 EU National Remote Worker; ICP-004 Entrepreneur / Company Formation; ICP-001 UK National Retiree; ICP-006 Family Relocating with Children,TOFU,https://paphosadvisor.com/tax-residency/gesy-contributions,GESY Contributions Explained | Paphos Advisor,"A practical guide to GESY contributions explained for your move to Cyprus — routes, costs, timelines and where expert help makes the difference.",GESY Contributions Explained,GESY contributions Cyprus,Cyprus relocation; Paphos; expert help; checklist,Informational,Article + FAQPage + BreadcrumbList,GESY; General Healthcare System; Health Insurance Organisation; dividends; pensions; employment income,What GESY contributions might apply after moving to Cyprus?,https://paphosadvisor.com/tax-residency,https://paphosadvisor.com/settling-in/gesy; https://paphosadvisor.com/tax-residency/non-dom; https://paphosadvisor.com/retirees; https://paphosadvisor.com/services/tax,P1 fast-follow,Needs official-source verification before publication. Add future multilingual note for high-demand pages only.
P029,Pillar/Hub,Evergreen,ICP-004 Entrepreneur / Company Formation; ICP-001 UK National Retiree; ICP-005 HNI Permanent Residency,MOFU,https://paphosadvisor.com/tax-residency/uk-to-cyprus-tax,UK to Cyprus Tax Planning | Paphos Advisor,"UK to Cyprus Tax Planning: the routes, requirements and real-world steps for moving to Cyprus, with vetted specialists when you need them.",UK to Cyprus Tax Planning,UK to Cyprus tax planning,Cyprus relocation; Paphos; expert help; checklist,Commercial,Article + FAQPage + BreadcrumbList,HMRC; UK Statutory Residence Test; Cyprus Tax Department; double tax treaty; pensions; dividends,What tax planning should UK residents consider before moving to Cyprus?,https://paphosadvisor.com/tax-residency,https://paphosadvisor.com/retirees; https://paphosadvisor.com/entrepreneurs; https://paphosadvisor.com/services/tax/uk-to-cyprus; https://paphosadvisor.com/experts/tax-advisors,P1 fast-follow,Needs official-source verification before publication. Add future multilingual note for high-demand pages only.
P030,FAQ,Evergreen,ICP-004 Entrepreneur / Company Formation,MOFU,https://paphosadvisor.com/entrepreneurs/company-formation-cyprus,Cyprus Company Formation Guide | Paphos Advisor,"A plain guide to Cyprus company formation guide for your Cyprus move: what to expect, what it costs and where to get expert help.",Cyprus Company Formation Guide,Cyprus company formation,Cyprus relocation; Paphos; expert help; checklist,Commercial,HowTo + FAQPage + BreadcrumbList,Registrar of Companies; limited company; corporate tax; VAT; accounting; substance; bank account,How do entrepreneurs form a company in Cyprus?,https://paphosadvisor.com/entrepreneurs,https://paphosadvisor.com/services/company-formation; https://paphosadvisor.com/tax-residency/60-day-rule; https://paphosadvisor.com/tax-residency/non-dom; https://paphosadvisor.com/experts/company-formation-specialists,P0 launch,Needs official-source verification before publication. Add future multilingual note for high-demand pages only.
P031,FAQ,Evergreen,ICP-004 Entrepreneur / Company Formation,MOFU,https://paphosadvisor.com/entrepreneurs/running-foreign-business-from-cyprus,Run a Foreign Business from Cyprus | Paphos Advisor,"Running a Foreign Business from Cyprus: what it is, who needs it and how to get it right when you move to Cyprus. Straight answers, no jargon.",Running a Foreign Business from Cyprus,running foreign business from Cyprus,Cyprus relocation; Paphos; expert help; checklist,Commercial,Article + FAQPage + BreadcrumbList,Management and control; substance; foreign company; tax residency; banking; payroll,Can I run a foreign business while living in Cyprus?,https://paphosadvisor.com/entrepreneurs,https://paphosadvisor.com/entrepreneurs/company-formation-cyprus; https://paphosadvisor.com/services/tax; https://paphosadvisor.com/services/company-formation; https://paphosadvisor.com/experts/accountants,P1 fast-follow,Needs official-source verification before publication. Add future multilingual note for high-demand pages only.
P032,FAQ,Evergreen,ICP-004 Entrepreneur / Company Formation,MOFU,https://paphosadvisor.com/entrepreneurs/cyprus-company-substance,Cyprus Company Substance Guide | Paphos Advisor,"Cyprus Company Substance Guide explained clearly — the steps, the pitfalls and how Paphos Advisor helps you get it done.",Cyprus Company Substance Guide,Cyprus company substance,Cyprus relocation; Paphos; expert help; checklist,Commercial,Article + FAQPage + BreadcrumbList,Substance; management and control; directors; office; employees; banking; corporate tax,What substance does a Cyprus company need to be credible?,https://paphosadvisor.com/entrepreneurs,https://paphosadvisor.com/entrepreneurs/company-formation-cyprus; https://paphosadvisor.com/services/company-formation; https://paphosadvisor.com/experts/tax-advisors; https://paphosadvisor.com/experts/accountants,P1 fast-follow,Needs official-source verification before publication. Add future multilingual note for high-demand pages only.
P033,FAQ,Evergreen,ICP-005 HNI Permanent Residency,MOFU,https://paphosadvisor.com/permanent-residency/investment-route,Cyprus PR by Investment Guide | Paphos Advisor,"A plain guide to Cyprus permanent residency by investment for your Cyprus move: what to expect, what it costs and where to get expert help.",Cyprus Permanent Residency by Investment,Cyprus PR by investment,Cyprus relocation; Paphos; expert help; checklist,Commercial,Article + FAQPage + BreadcrumbList,Permanent residency; Regulation 6(2); qualifying property; CRMD; developer; legal due diligence,How does Cyprus permanent residency by investment work?,https://paphosadvisor.com/permanent-residency,https://paphosadvisor.com/services/legal/permanent-residency; https://paphosadvisor.com/services/property/buyer-due-diligence; https://paphosadvisor.com/experts/immigration-lawyers; https://paphosadvisor.com/experts/real-estate-advisors,P0 launch,Needs official-source verification before publication. Add future multilingual note for high-demand pages only.
